,Rank,Name,Name.1,Nation,Points,533,532,531,586,527,551,528,550,524,521,2003,event,gender,athlete_id
12,13,Zardini,Luca,ITA,221.00,5. 51.00,,8. 40.00,,11. 31.00,28. 3.00,8. 40.00,12. 28.00,,12. 28.00,2003,lead,MEN,542
13,14,Bindhammer,Christian,GER,191.00,21. (10.00),18. 16.00,13. 26.00,8. 40.00,8. 40.00,19. 14.00,17. 18.00,9. 37.00,,,2003,lead,MEN,112
14,15,Douloub,Iouri,RUS,164.00,,,23. 8.00,9. 37.00,23. 8.00,7. 43.00,,,8. 40.00,12. 28.00,2003,lead,MEN,351
15,16,Bindhammer,Andreas,GER,161.00,26. 5.00,7. 43.00,28. (3.00),6. 47.00,12. 28.00,18. 16.00,19. 14.00,23. 8.00,,,2003,lead,MEN,8
16,17,Marin Garcia,Eduard,ESP,142.00,,17. 18.00,29. 2.00,28. 3.00,27. 4.00,9. 37.00,6. 47.00,,11. 31.00,,2003,lead,MEN,5185
17,18,Caude,David,FRA,136.00,,,,20. 12.00,24. 7.00,9. 37.00,12. 28.00,22. 9.00,,7. 43.00,2003,lead,MEN,172
18,19,Valjavec,Tomaz,SLO,117.00,7. 43.00,,24. 7.00,,20. 12.00,23. 8.00,24. 7.00,,,8. 40.00,2003,lead,MEN,926
19,20,Legrand,François,FRA,114.00,,,,,30. 1.00,,15. 22.00,,13. 26.00,3. 65.00,2003,lead,MEN,266
20,21,Lagni,Bernardino,ITA,113.00,,,,21. 10.00,19. 14.00,16. 20.00,,3. 65.00,,27. 4.00,2003,lead,MEN,87
21,22,Kryvosheytsev,Yevgen,UKR,107.00,,,,,,5. 51.00,,15. 22.00,10. 34.00,,2003,lead,MEN,227
22,22,Sova,Matej,SLO,107.00,11. 31.00,,11. 31.00,,,26. 5.00,18. 16.00,25. 6.00,17. 18.00,,2003,lead,MEN,629
23,24,Vinokur,Vadim,USA,104.00,24. 7.00,6. 47.00,,24. 7.00,17. 18.00,28. 3.00,,15. 22.00,,,2003,lead,MEN,950
24,25,Brenna,Cristian,ITA,96.00,,,,,,,,9. 37.00,5. 51.00,23. 8.00,2003,lead,MEN,109
25,26,Roth,Cody,USA,91.00,,,18. 16.00,,14. 24.00,,29. 2.00,29. 2.00,,6. 47.00,2003,lead,MEN,3210
26,27,Fischhuber,Kilian,AUT,85.00,28. 3.00,,17. 18.00,,,15. 22.00,19. 14.00,,,12. 28.00,2003,lead,MEN,2602
27,28,Fichtinger,Reinhard,AUT,83.00,,,15. 22.00,,22. 9.00,19. 14.00,24. 7.00,,,11. 31.00,2003,lead,MEN,757
28,29,Petrenko,Maksym,UKR,82.00,13. 26.00,,,16. 20.00,13. 26.00,,,21. 10.00,,,2003,lead,MEN,609
29,30,Mogaki,Keita,JPN,81.00,20. 12.00,3. 65.00,,,,,27. 4.00,,,,2003,lead,MEN,3246
30,31,Verhoeven,Jorg,NED,76.00,,,7. 43.00,,16. 20.00,,23. 8.00,26. 5.00,,,2003,lead,MEN,3115
31,32,Hoppe,Markus,GER,72.00,13. 26.00,,12. 28.00,,21. 10.00,23. 8.00,,,,,2003,lead,MEN,3706
32,33,Petit,François,FRA,70.00,,,,,,,,14. 24.00,20. 12.00,10. 34.00,2003,lead,MEN,275
33,34,Sapey,Anthony,SUI,68.00,,,10. 34.00,10. 34.00,,,,,,,2003,lead,MEN,3506
34,35,Ten Sijthoff,Casper,NED,67.00,,13. 26.00,,23. 8.00,29. 2.00,,11. 31.00,,,,2003,lead,MEN,2560
35,36,Gnerro,Alberto,ITA,66.00,,,25. 6.00,,,21. 10.00,,8. 40.00,,21. 10.00,2003,lead,MEN,29
36,37,Son,Sangwon,KOR,62.00,15. 22.00,8. 40.00,,,,,,,,,2003,lead,MEN,3394
37,38,Becan,Klemen,SLO,61.00,8. 40.00,,22. 9.00,,26. 5.00,26. 5.00,,,29. 2.00,,2003,lead,MEN,2523
38,38,Pagnoux,Romain,FRA,61.00,17. 18.00,,,7. 43.00,,,,,,,2003,lead,MEN,5664
39,40,Dugit,Fabien,FRA,51.00,,,,5. 51.00,,,,,,,2003,lead,MEN,2791
40,41,Bosma,Peter,SWE,45.00,,,,10. 34.00,,21. 10.00,,,,30. 1.00,2003,lead,MEN,683
41,42,Manzanedo,César Ciudad,ESP,43.00,,,,26. 5.00,,,15. 22.00,,,18. 16.00,2003,lead,MEN,121
42,43,Favresse,Nicolas,BEL,34.00,19. 14.00,,,17. 18.00,,,,,,29. 2.00,2003,lead,MEN,646
43,44,Desgranges,Romain,FRA,31.00,,,,30. 1.00,,,,15. 22.00,,23. 8.00,2003,lead,MEN,3554
44,45,Felix,Martin,SUI,30.00,,,,,,,,29. 2.00,,12. 28.00,2003,lead,MEN,566
45,46,Charafoutdinov,Denis,RUS,28.00,,,,,,,,,12. 28.00,,2003,lead,MEN,2495
46,46,Jaggi,Martin,SUI,28.00,,,,,,,,,,12. 28.00,2003,lead,MEN,2535
47,48,Pekarev,Mikhail,RUS,26.00,,,,,,,,,13. 26.00,,2003,lead,MEN,2816
48,48,Repcik,Juraj,SVK,26.00,,,16. 20.00,,25. 6.00,,,,,,2003,lead,MEN,446
49,48,Zemski,Alexei,RUS,26.00,,,,,,,,,13. 26.00,,2003,lead,MEN,2575
50,51,Gusak,Igor,UKR,23.00,,,,,,,19. 14.00,,22. 9.00,,2003,lead,MEN,354
51,51,Reis,Jürgen,AUT,23.00,,,,,,30. 1.00,19. 14.00,28. 3.00,26. 5.00,,2003,lead,MEN,447
52,53,Cao,Rongwu,CHN,22.00,,15. 22.00,,,,,,,,,2003,lead,MEN,5398
53,53,Kazbekov,Serik,UKR,22.00,,,,,,,,15. 22.00,,,2003,lead,MEN,829
54,53,Mc Clure,Steve,GBR,22.00,15. 22.00,,,,,,,,,,2003,lead,MEN,4916
55,56,Kovalevskj,Alexandre,RUS,20.00,,,,,,,,,18. 16.00,27. 4.00,2003,lead,MEN,2570
56,56,McColl,Sean,CAN,20.00,,,,,,16. 20.00,,,,,2003,lead,MEN,5089
57,56,Tan,Sze Ping,SGP,20.00,,16. 20.00,,,,,,,,,2003,lead,MEN,5742
58,59,Baxter,Adrian,GBR,18.00,17. 18.00,,,,,,,,,,2003,lead,MEN,3434
59,59,Wiki,Thomas,FRA,18.00,,,,17. 18.00,,,,,,,2003,lead,MEN,2790
60,61,Kaurov,Ivan,RUS,14.00,,,,,,,,,19. 14.00,,2003,lead,MEN,5137
61,62,Liu,Changzhong,CHN,12.00,,20. 12.00,,,,,,,,,2003,lead,MEN,5403
62,63,Salada,Arman,PHI,10.00,,21. 10.00,,,,,,,,,2003,lead,MEN,6392
63,63,Sharafutdinov,Dmitrii,RUS,10.00,,,,,,,,,21. 10.00,,2003,lead,MEN,5781
64,63,Skof,Miha,SLO,10.00,,,21. 10.00,,,,,,,,2003,lead,MEN,3510
65,63,Sordo,Christian,ITA,10.00,,,,,,,,,,21. 10.00,2003,lead,MEN,2492
66,67,Lai,Chi-Wai,HKG,9.00,,22. 9.00,,,,,,,,,2003,lead,MEN,5005
67,67,Pahati,Jaime Amiel,PHI,9.00,,22. 9.00,,,,,,,,,2003,lead,MEN,6393
68,67,Samyn,Remi,FRA,9.00,,,,22. 9.00,,,,,,,2003,lead,MEN,3223
69,70,Khakimianov,Ilfir,RUS,8.00,,,,,,,,,23. 8.00,,2003,lead,MEN,358
70,70,Takeda,Takuya,JPN,8.00,,,,,,,,23. 8.00,,,2003,lead,MEN,5555
71,70,Zazvonil,Luka,SLO,8.00,23. 8.00,,,,,,,,,,2003,lead,MEN,543
72,73,Cho,Kyu-Bog,KOR,7.00,,24. 7.00,,,,,,,,,2003,lead,MEN,473
73,73,Tchernykh,Maxim,RUS,7.00,,,,,,,,,24. 7.00,,2003,lead,MEN,2614
74,75,Goloubkov,Mikhail,RUS,6.00,,,,,,,,,25. 6.00,,2003,lead,MEN,3290
75,75,Zhao,Kai,CHN,6.00,,25. 6.00,,,,,,,,,2003,lead,MEN,4987
76,77,Borowka,Andre,GER,5.00,,,,,,,26. 5.00,,,,2003,lead,MEN,2394
77,77,Fojtik,Martin,CZE,5.00,,,,,30. 1.00,,,27. 4.00,,,2003,lead,MEN,6168
78,77,Lok,Chi-Wai,HKG,5.00,,26. 5.00,,,,,,,,,2003,lead,MEN,140
79,80,Abad Del Campo,Sebastian,ESP,4.00,,,,,,,27. 4.00,,,,2003,lead,MEN,5717
80,80,Caleyron,Thomas,FRA,4.00,,,,28. 3.00,,30. 1.00,,,,,2003,lead,MEN,5694
81,80,Guerimand,Flavien,FRA,4.00,,,,27. 4.00,,,,,,,2003,lead,MEN,3287
82,80,Jensterle,Franci,SLO,4.00,,,27. 4.00,,,,,,,,2003,lead,MEN,265
83,80,Kartiko,Bondan,INA,4.00,,27. 4.00,,,,,,,,,2003,lead,MEN,6394
84,80,Leitman,Marek,SVK,4.00,,,,,27. 4.00,,,,,,2003,lead,MEN,6363
85,80,Zilinskiy,Oleksandr,UKR,4.00,,,,,,,,,27. 4.00,,2003,lead,MEN,6159
86,87,Hazlee,Mohd,SGP,3.00,,28. 3.00,,,,,,,,,2003,lead,MEN,5411
87,87,Savelyev,Konstantin,RUS,3.00,,,,,,,,,28. 3.00,,2003,lead,MEN,2800
88,89,Cassidy,Jamie,GBR,2.00,29. 2.00,,,,,,,,,,2003,lead,MEN,5186
89,89,Chu,Ka-Wai,HKG,2.00,,29. 2.00,,,,,,,,,2003,lead,MEN,3692
90,89,KARAPETO ARRUE,Gorka,ESP,2.00,,,,,,,29. 2.00,,,,2003,lead,MEN,3524
91,89,Mobråten,Martin,NOR,2.00,,,,,,,29. 2.00,,,,2003,lead,MEN,3214
92,89,Rant,Blaz,SLO,2.00,,,29. 2.00,,,,,,,,2003,lead,MEN,2578
93,94,Chen,Chih-Yung,TPE,1.00,,30. 1.00,,,,,,,,,2003,lead,MEN,4976
94,94,Huang,Kuo-Wei,TPE,1.00,,30. 1.00,,,,,,,,,2003,lead,MEN,6395
95,94,Kim,Dong-Hyun,KOR,1.00,30. 1.00,,,,,,,,,,2003,lead,MEN,417
96,94,Kim,Jabee,KOR,1.00,30. 1.00,,,,,,,,,,2003,lead,MEN,5799
97,94,Sandoval,Simon H.,PHI,1.00,,30. 1.00,,,,,,,,,2003,lead,MEN,4980
98,94,Xin,Ri-Long,CHN,1.00,,30. 1.00,,,,,,,,,2003,lead,MEN,5407
