,Rank,Name,Name.1,Nation,Points,Edinburgh 04.12.2003,Shenzen 21.11.2003,Kranj 14.11.2003,Valence 31.10.2003,Prague 11.10.2003,Aprica 03.10.2003,Aviles 22.08.2003,Lecco 28.06.2003,Yekaterinburg D+S 06.06.2003,Imst 23.05.2003,2003,event,gender
33,34,Sapey,Anthony,SUI,68.00,,,10. 34.00,10. 34.00,,,,,,,2003,lead,MEN
34,35,Ten Sijthoff,Casper,NED,67.00,,13. 26.00,,23. 8.00,29. 2.00,,11. 31.00,,,,2003,lead,MEN
35,36,Gnerro,Alberto,ITA,66.00,,,25. 6.00,,,21. 10.00,,8. 40.00,,21. 10.00,2003,lead,MEN
36,37,Son,Sangwon,KOR,62.00,15. 22.00,8. 40.00,,,,,,,,,2003,lead,MEN
37,38,Becan,Klemen,SLO,61.00,8. 40.00,,22. 9.00,,26. 5.00,26. 5.00,,,29. 2.00,,2003,lead,MEN
38,38,Pagnoux,Romain,FRA,61.00,17. 18.00,,,7. 43.00,,,,,,,2003,lead,MEN
39,40,Dugit,Fabien,FRA,51.00,,,,5. 51.00,,,,,,,2003,lead,MEN
40,41,Bosma,Peter,SWE,45.00,,,,10. 34.00,,21. 10.00,,,,30. 1.00,2003,lead,MEN
41,42,Manzanedo,César Ciudad,ESP,43.00,,,,26. 5.00,,,15. 22.00,,,18. 16.00,2003,lead,MEN
42,43,Favresse,Nicolas,BEL,34.00,19. 14.00,,,17. 18.00,,,,,,29. 2.00,2003,lead,MEN
43,44,Desgranges,Romain,FRA,31.00,,,,30. 1.00,,,,15. 22.00,,23. 8.00,2003,lead,MEN
44,45,Felix,Martin,SUI,30.00,,,,,,,,29. 2.00,,12. 28.00,2003,lead,MEN
45,46,Charafoutdinov,Denis,RUS,28.00,,,,,,,,,12. 28.00,,2003,lead,MEN
46,46,Jaggi,Martin,SUI,28.00,,,,,,,,,,12. 28.00,2003,lead,MEN
47,48,Pekarev,Mikhail,RUS,26.00,,,,,,,,,13. 26.00,,2003,lead,MEN
48,48,Repcik,Juraj,SVK,26.00,,,16. 20.00,,25. 6.00,,,,,,2003,lead,MEN
49,48,Zemski,Alexei,RUS,26.00,,,,,,,,,13. 26.00,,2003,lead,MEN
50,51,Gusak,Igor,UKR,23.00,,,,,,,19. 14.00,,22. 9.00,,2003,lead,MEN
51,51,Reis,Jürgen,AUT,23.00,,,,,,30. 1.00,19. 14.00,28. 3.00,26. 5.00,,2003,lead,MEN
52,53,Cao,Rongwu,CHN,22.00,,15. 22.00,,,,,,,,,2003,lead,MEN
53,53,Kazbekov,Serik,UKR,22.00,,,,,,,,15. 22.00,,,2003,lead,MEN
54,53,Mc Clure,Steve,GBR,22.00,15. 22.00,,,,,,,,,,2003,lead,MEN
55,56,Kovalevskj,Alexandre,RUS,20.00,,,,,,,,,18. 16.00,27. 4.00,2003,lead,MEN
56,56,McColl,Sean,CAN,20.00,,,,,,16. 20.00,,,,,2003,lead,MEN
57,56,Tan,Sze Ping,SGP,20.00,,16. 20.00,,,,,,,,,2003,lead,MEN
58,59,Baxter,Adrian,GBR,18.00,17. 18.00,,,,,,,,,,2003,lead,MEN
59,59,Wiki,Thomas,FRA,18.00,,,,17. 18.00,,,,,,,2003,lead,MEN
60,61,Kaurov,Ivan,RUS,14.00,,,,,,,,,19. 14.00,,2003,lead,MEN
61,62,Liu,Changzhong,CHN,12.00,,20. 12.00,,,,,,,,,2003,lead,MEN
62,63,Salada,Arman,PHI,10.00,,21. 10.00,,,,,,,,,2003,lead,MEN
63,63,Sharafutdinov,Dmitrii,RUS,10.00,,,,,,,,,21. 10.00,,2003,lead,MEN
64,63,Skof,Miha,SLO,10.00,,,21. 10.00,,,,,,,,2003,lead,MEN
65,63,Sordo,Christian,ITA,10.00,,,,,,,,,,21. 10.00,2003,lead,MEN
66,67,Lai,Chi-Wai,HKG,9.00,,22. 9.00,,,,,,,,,2003,lead,MEN
67,67,Pahati,Jaime Amiel,PHI,9.00,,22. 9.00,,,,,,,,,2003,lead,MEN
68,67,Samyn,Remi,FRA,9.00,,,,22. 9.00,,,,,,,2003,lead,MEN
69,70,Khakimianov,Ilfir,RUS,8.00,,,,,,,,,23. 8.00,,2003,lead,MEN
70,70,Takeda,Takuya,JPN,8.00,,,,,,,,23. 8.00,,,2003,lead,MEN
71,70,Zazvonil,Luka,SLO,8.00,23. 8.00,,,,,,,,,,2003,lead,MEN
72,73,Cho,Kyu-Bog,KOR,7.00,,24. 7.00,,,,,,,,,2003,lead,MEN
73,73,Tchernykh,Maxim,RUS,7.00,,,,,,,,,24. 7.00,,2003,lead,MEN
74,75,Goloubkov,Mikhail,RUS,6.00,,,,,,,,,25. 6.00,,2003,lead,MEN
75,75,Zhao,Kai,CHN,6.00,,25. 6.00,,,,,,,,,2003,lead,MEN
76,77,Borowka,Andre,GER,5.00,,,,,,,26. 5.00,,,,2003,lead,MEN
77,77,Fojtik,Martin,CZE,5.00,,,,,30. 1.00,,,27. 4.00,,,2003,lead,MEN
78,77,Lok,Chi-Wai,HKG,5.00,,26. 5.00,,,,,,,,,2003,lead,MEN
79,80,Abad Del Campo,Sebastian,ESP,4.00,,,,,,,27. 4.00,,,,2003,lead,MEN
80,80,Caleyron,Thomas,FRA,4.00,,,,28. 3.00,,30. 1.00,,,,,2003,lead,MEN
81,80,Guerimand,Flavien,FRA,4.00,,,,27. 4.00,,,,,,,2003,lead,MEN
82,80,Jensterle,Franci,SLO,4.00,,,27. 4.00,,,,,,,,2003,lead,MEN
83,80,Kartiko,Bondan,INA,4.00,,27. 4.00,,,,,,,,,2003,lead,MEN
84,80,Leitman,Marek,SVK,4.00,,,,,27. 4.00,,,,,,2003,lead,MEN
85,80,Zilinskiy,Oleksandr,UKR,4.00,,,,,,,,,27. 4.00,,2003,lead,MEN
86,87,Hazlee,Mohd,SGP,3.00,,28. 3.00,,,,,,,,,2003,lead,MEN
87,87,Savelyev,Konstantin,RUS,3.00,,,,,,,,,28. 3.00,,2003,lead,MEN
88,89,Cassidy,Jamie,GBR,2.00,29. 2.00,,,,,,,,,,2003,lead,MEN
89,89,Chu,Ka-Wai,HKG,2.00,,29. 2.00,,,,,,,,,2003,lead,MEN
90,89,KARAPETO ARRUE,Gorka,ESP,2.00,,,,,,,29. 2.00,,,,2003,lead,MEN
91,89,Mobråten,Martin,NOR,2.00,,,,,,,29. 2.00,,,,2003,lead,MEN
92,89,Rant,Blaz,SLO,2.00,,,29. 2.00,,,,,,,,2003,lead,MEN
93,94,Chen,Chih-Yung,TPE,1.00,,30. 1.00,,,,,,,,,2003,lead,MEN
94,94,Huang,Kuo-Wei,TPE,1.00,,30. 1.00,,,,,,,,,2003,lead,MEN
95,94,Kim,Dong-Hyun,KOR,1.00,30. 1.00,,,,,,,,,,2003,lead,MEN
96,94,Kim,Jabee,KOR,1.00,30. 1.00,,,,,,,,,,2003,lead,MEN
97,94,Sandoval,Simon H.,PHI,1.00,,30. 1.00,,,,,,,,,2003,lead,MEN
98,94,Xin,Ri-Long,CHN,1.00,,30. 1.00,,,,,,,,,2003,lead,MEN
99,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,2003,lead,MEN
