,Rank,Name,Name.1,Nation,Points,WC Huaiji 29.10.2010,WC Chuncheon 28.08.2010,WC Xining 20.08.2010,WC Daone 24.07.2010,Wc Chamonix 12.07.2010,WC Moscow 17.06.2010,WC Trento 30.04.2010,2010,event,gender
50,49,Sirotti,Gianluca,ITA,16.00,,,,18. 16.00,,,,2010,speed,MEN
51,52,Quinteros,Andres,ECU,14.00,,,,,19. 14.00,,,2010,speed,MEN
52,52,Rugens,Rolands,LAT,14.00,,,,,,19. 14.00,,2010,speed,MEN
53,52,Styla,Hubert,POL,14.00,,,,,,,19. 14.00,2010,speed,MEN
54,55,Astashkin,Evgeny,RUS,12.00,,,,,,20. 12.00,,2010,speed,MEN
55,55,Dupin,Thomas,FRA,12.00,,,,,20. 12.00,,,2010,speed,MEN
56,55,Gál,Bence,HUN,12.00,,,,,,,20. 12.00,2010,speed,MEN
57,55,Ma,ZiDa,CHN,12.00,20. 12.00,,,,,,,2010,speed,MEN
58,59,Devyaterikov,Nikita,KAZ,9.00,,,,,,22. 9.00,,2010,speed,MEN
59,59,Juhasz,Gyula,HUN,9.00,,,,,29. 1.00,,22. 8.00,2010,speed,MEN
60,59,Modrzejewski,Jan,POL,9.00,,,,22. 9.00,,,,2010,speed,MEN
61,62,Estevez,Isaac,ECU,7.00,,,,,,,24. 7.00,2010,speed,MEN
62,63,Vorobyev,Valeriy,RUS,6.00,,,,,,25. 6.00,,2010,speed,MEN
63,64,Jobert,Emilien,FRA,5.00,,,,,26. 5.00,,,2010,speed,MEN
64,64,Novitskiy,Yury,RUS,5.00,,,,,,26. 5.00,,2010,speed,MEN
65,66,El Anhari,Joakim,FRA,4.00,,,,,27. 4.00,,,2010,speed,MEN
66,66,Salimov,Oleksandr,UKR,4.00,,,,,,27. 4.00,,2010,speed,MEN
67,68,Chavot,Vincent,FRA,1.00,,,,,29. 1.00,,,2010,speed,MEN
68,68,Foygel,Pavlo,UKR,1.00,,,,,,30. 1.00,,2010,speed,MEN
69,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2010. Not counting points are in brackets.,2010,speed,MEN
