,Rank,Name,Name.1,Nation,Points,Kranj 20.11.2004,Brno 12.11.2004,Valence 29.10.2004,Aprica 22.10.2004,Shanghai 02.10.2004,Marbella 18.09.2004,Chamonix 12.07.2004,Imst 29.05.2004,Puurs 23.04.2004,2004,event,gender
26,27,Minoret,Chloé,FRA,63.00,,,13. 26.00,,,,9. 37.00,,,2004,lead,WOMEN
27,28,Go,Mi-Sun,KOR,42.00,23. 8.00,25. 6.00,,,12. 28.00,,,,,2004,lead,WOMEN
28,29,Iovane,Luisa,ITA,41.00,24. 7.00,,,21. 10.00,,,,14. 24.00,,2004,lead,WOMEN
29,30,Markovic,Mina,SLO,38.00,14. 24.00,,,,,,25. 6.00,23. 8.00,,2004,lead,WOMEN
30,30,Nilsson,Ingela,SWE,38.00,,,27. 4.00,,,14. 24.00,24. 7.00,,28. 3.00,2004,lead,WOMEN
31,32,Januel,Caroline,FRA,37.00,,,,,,,,9. 37.00,,2004,lead,WOMEN
32,33,Graftiaux,Alix,BEL,36.00,,,25. 6.00,,,16. 20.00,,,21. 10.00,2004,lead,WOMEN
33,34,Cintalova,Zuzana,SVK,34.00,,20. 12.00,,,,,,,15. 22.00,2004,lead,WOMEN
34,34,Creamer,Lucy,GBR,34.00,,,28. 3.00,,,,11. 31.00,,,2004,lead,WOMEN
35,34,Harnisch,Martina,AUT,34.00,18. 16.00,,22. 9.00,,,,,22. 9.00,,2004,lead,WOMEN
36,37,Crouvisier,Stéphanie,FRA,32.00,,,,,,,23. 8.00,14. 24.00,,2004,lead,WOMEN
37,37,Ilic,Caroline,FRA,32.00,,,,24. 7.00,,,30. 1.00,,14. 24.00,2004,lead,WOMEN
38,39,Pinet,Florence,FRA,28.00,,,29. 2.00,,,,13. 26.00,,,2004,lead,WOMEN
39,40,Asher,Elizabeth,USA,27.00,,,30. 1.00,13. 26.00,,,,,,2004,lead,WOMEN
40,41,Hernandez,Raquel,ESP,22.00,,,,,,17. 18.00,27. 4.00,,,2004,lead,WOMEN
41,41,Huang,Li-Ping,CHN,22.00,,,,,15. 22.00,,,,,2004,lead,WOMEN
42,43,Etter,Susanne,SUI,21.00,,,,22. 9.00,,,,28. 3.00,22. 9.00,2004,lead,WOMEN
43,44,Giroux,Elodie,FRA,20.00,,,,,,,,,16. 20.00,2004,lead,WOMEN
44,44,Li,Chunhua,CHN,20.00,,,,,16. 20.00,,,,,2004,lead,WOMEN
45,46,CRUZ MONTALBAN,Esther,ESP,18.00,,,,,,17. 18.00,,,,2004,lead,WOMEN
46,46,Madate,Tomoko,JPN,18.00,,,,,17. 18.00,,,,,2004,lead,WOMEN
47,46,Theroux,Corinne,FRA,18.00,,,,,,,17. 18.00,,,2004,lead,WOMEN
48,49,Hrozova,Lucie,CZE,16.00,,18. 16.00,,,,,,,,2004,lead,WOMEN
49,49,Kudrova,Nelly,CZE,16.00,,18. 16.00,,,,,,,,2004,lead,WOMEN
50,51,Lipenska,Helena,CZE,15.00,,23. 8.00,30. 1.00,25. 6.00,,,,,,2004,lead,WOMEN
51,51,Martin Sancho,Berta,ESP,15.00,,,,,28. 3.00,21. 10.00,29. 2.00,,,2004,lead,WOMEN
52,53,Malamid,Evgeniia,RUS,14.00,,,,,,,,19. 14.00,,2004,lead,WOMEN
53,54,Anthoni,Kim,BEL,12.00,,,,,,,,,20. 12.00,2004,lead,WOMEN
54,54,Knoche,Lisa,GER,12.00,24. 7.00,,,,,,,26. 5.00,,2004,lead,WOMEN
55,54,Mathieu,Laure,FRA,12.00,,,20. 12.00,,,,,,,2004,lead,WOMEN
56,54,Novikova,Natalia,RUS,12.00,,,,,,,,20. 12.00,,2004,lead,WOMEN
57,58,Ansade,Maud,FRA,10.00,,,21. 10.00,,,,,,,2004,lead,WOMEN
58,58,Cintalova,Katarina,SVK,10.00,,21. 10.00,,,,,,,,2004,lead,WOMEN
59,58,Forestier,Monique,AUS,10.00,,,,,,,,21. 10.00,,2004,lead,WOMEN
60,58,Labanu,Ilmawaty,INA,10.00,,,,,21. 10.00,,,,,2004,lead,WOMEN
61,58,Rodriguez,Francis,VEN,10.00,,,,,,21. 10.00,,,,2004,lead,WOMEN
62,63,Chevrier,Anne-Laure,FRA,9.00,,,22. 9.00,,,,,,,2004,lead,WOMEN
63,63,Chudobova,Katerina,CZE,9.00,,22. 9.00,,,,,,,,2004,lead,WOMEN
64,63,Nilwik,Rachel,NED,9.00,30. 1.00,,,,,,,,23. 8.00,2004,lead,WOMEN
65,63,Perlova,Nataliya,UKR,9.00,,,,,22. 9.00,,,,,2004,lead,WOMEN
66,67,Liu,Hiu Ying,HKG,8.00,,,,,23. 8.00,,,,,2004,lead,WOMEN
67,67,Teso,Emeline,FRA,8.00,,,,23. 8.00,,,,,,2004,lead,WOMEN
68,67,Zeilemaker,Monica,NED,8.00,,,,,28. 3.00,,,,26. 5.00,2004,lead,WOMEN
69,70,Berry,Samantha,AUS,7.00,,,,,24. 7.00,,,,,2004,lead,WOMEN
70,70,Louis,Stéphanie,SUI,7.00,,,,,,,,30. 1.00,25. 6.00,2004,lead,WOMEN
71,70,Outland,Stephanie,USA,7.00,,,,,,24. 7.00,,,,2004,lead,WOMEN
72,73,Largeron,Marine,FRA,6.00,,,25. 6.00,,,,,,,2004,lead,WOMEN
73,73,Oliveira,Kimie,POR,6.00,,,,,,25. 6.00,,,,2004,lead,WOMEN
74,73,Piszczek,Renata,POL,6.00,,,,,25. 6.00,,,,,2004,lead,WOMEN
75,73,Schranz,Barbara,AUT,6.00,,,,,,,,25. 6.00,,2004,lead,WOMEN
76,77,Dufraisse,Alizée,FRA,5.00,,,,,,,26. 5.00,,,2004,lead,WOMEN
77,77,Kugler,Eliza,POL,5.00,,26. 5.00,,,,,,,,2004,lead,WOMEN
78,77,Livaniu,Athena,GRE,5.00,,,,,,26. 5.00,,,,2004,lead,WOMEN
79,77,Webster,Sarah,AUS,5.00,,,,,26. 5.00,,,,,2004,lead,WOMEN
80,81,Asher,Alexis,USA,4.00,,,,27. 4.00,,,,,,2004,lead,WOMEN
81,81,Bacher,Sabine,AUT,4.00,,,,,,,,27. 4.00,,2004,lead,WOMEN
82,81,Giouri,Paraskevi,GRE,4.00,,,,,,27. 4.00,,,,2004,lead,WOMEN
83,81,Huang,Bai-Le,TPE,4.00,,,,,27. 4.00,,,,,2004,lead,WOMEN
84,81,Tomanova,Petra,SVK,4.00,,27. 4.00,,,,,,,,2004,lead,WOMEN
85,81,Van Winckel,Valentine,BEL,4.00,,,,,,,,,27. 4.00,2004,lead,WOMEN
86,87,Boavida,Isabel,POR,3.00,,,,,,28. 3.00,,,,2004,lead,WOMEN
87,87,Do,Eun-Na,KOR,3.00,,28. 3.00,,,,,,,,2004,lead,WOMEN
88,87,Murjayanti,A,INA,3.00,,,,,28. 3.00,,,,,2004,lead,WOMEN
89,87,Tan,"Li Ying, Suzanna",SGP,3.00,,,,,28. 3.00,,,,,2004,lead,WOMEN
90,91,Glaserova,Martina,CZE,2.00,,29. 2.00,,,,,,,,2004,lead,WOMEN
91,91,Ruh,Nadine,GER,2.00,29. 2.00,,,,,,,,,2004,lead,WOMEN
92,91,Steenackers,Katie,BEL,2.00,,,,,,,,,29. 2.00,2004,lead,WOMEN
93,94,Karesova,Eliska,CZE,1.00,,30. 1.00,,,,,,,,2004,lead,WOMEN
94,94,Ostergaard,Stine,DEN,1.00,,,,,,,,,30. 1.00,2004,lead,WOMEN
95,94,Policard,Michaelle,FRA,1.00,,,30. 1.00,,,,,,,2004,lead,WOMEN
96,94,Stenkovaya,Anna,RUS,1.00,,,,,,,30. 1.00,,,2004,lead,WOMEN
97,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,6 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,2004,lead,WOMEN
