,Rank,Name,Name.1,Nation,Points,Moscow (B+S) 02.11.2006,Shanghai (L+S) 02.10.2006,Kuala Lumpur (L+S) 12.08.2006,Singapore (L+S) 05.08.2006,Daone (S) 29.07.2006,Chamonix (L+S) 12.07.2006,Dresden (L+S) 19.05.2006,Veliko Tarnovo (B+S) 21.04.2006,2006,event,gender
20,20,Baumann,Jonas,GER,65.00,19. 14.00,,,,,,5. 51.00,,2006,speed,MEN
21,20,Chen,Xiaojie,CHN,65.00,,3. 65.00,,,,,,,2006,speed,MEN
22,20,Salimov,Oleksandr,UKR,65.00,3. 65.00,,,,,,,,2006,speed,MEN
23,20,Swirk,Lukasz,POL,65.00,,15. 22.00,,,7. 43.00,,,,2006,speed,MEN
24,25,Svacha,Jiri,CZE,60.00,,,,,10. 34.00,,13. 26.00,,2006,speed,MEN
25,26,Amann,Mark,AUT,57.00,,,,,,13. 26.00,11. 31.00,,2006,speed,MEN
26,27,Chen,Fengle,CHN,55.00,,4. 55.00,,,,,,,2006,speed,MEN
27,27,Ismagilov,Eduard,RUS,55.00,4. 55.00,,,,,,,,2006,speed,MEN
28,27,Yulianto,Abudzar,INA,55.00,,,,4. 55.00,,,,,2006,speed,MEN
29,30,Fernandez,Gary Leon,SGP,52.00,,,14. 24.00,12. 28.00,,,,,2006,speed,MEN
30,31,Sadyrov,Marat,RUS,51.00,5. 51.00,,,,,,,,2006,speed,MEN
31,32,Mohd Yusoff,Muhammad Ridzuan,SGP,50.00,,,10. 34.00,18. 16.00,,,,,2006,speed,MEN
32,32,Poberezhets,Serhiy,UKR,50.00,,,,,,,10. 34.00,18. 16.00,2006,speed,MEN
33,34,Lakhin,Oleksandr,UKR,47.00,,,,,,,,6. 47.00,2006,speed,MEN
34,34,Vorobyev,Valeriy,RUS,47.00,6. 47.00,,,,,,,,2006,speed,MEN
35,34,Ye,Xiangyang,CHN,47.00,,6. 47.00,,,,,,,2006,speed,MEN
36,37,Styenkovyy,Maksym,UKR,43.00,,,,,,,,7. 43.00,2006,speed,MEN
37,38,Masdari,Zakariaya,MAS,40.00,,,16. 20.00,16. 20.00,,,,,2006,speed,MEN
38,38,Merz,Aric,GER,40.00,,,,,,,8. 40.00,,2006,speed,MEN
39,38,REINOSO NARANJO,Hernan Agustin,ECU,40.00,,,,,13. 26.00,19. 14.00,,,2006,speed,MEN
40,41,Mawem,Bassa,FRA,37.00,,,,,,9. 37.00,,,2006,speed,MEN
41,41,Petkov,Mincho,BUL,37.00,,,,,,,,9. 37.00,2006,speed,MEN
42,43,Bokhari,Hafzanizam,MAS,31.00,,,11. 31.00,,,,,,2006,speed,MEN
43,43,Kozlov,Vasily,RUS,31.00,11. 31.00,,,,,,,,2006,speed,MEN
44,43,Lu,Xiaolong,CHN,31.00,,11. 31.00,,,,,,,2006,speed,MEN
45,46,Jaafar,Mohd Tarmizi,MAS,28.00,,,17. 18.00,21. 10.00,,,,,2006,speed,MEN
46,46,Kursin,Vasilii,RUS,28.00,12. 28.00,,,,,,,,2006,speed,MEN
47,46,Lau,Johannes,GER,28.00,,,,,,,12. 28.00,,2006,speed,MEN
48,46,Olivares,Rafael,VEN,28.00,,,,,12. 28.00,,,,2006,speed,MEN
49,50,Abu Hassan,Khairul Hafiz,MAS,26.00,,,13. 26.00,,,,,,2006,speed,MEN
50,50,Hafnizam,Bakhori,MAS,26.00,,,,13. 26.00,,,,,2006,speed,MEN
51,50,Shyshkovskyy,Ivan,UKR,26.00,,,,,,,,13. 26.00,2006,speed,MEN
52,53,Januel,Nicolas,FRA,24.00,,,,,,14. 24.00,,,2006,speed,MEN
53,53,Lazarov,Blagovest,BUL,24.00,,,,,,,,14. 24.00,2006,speed,MEN
54,53,Portsev,Aleksei,RUS,24.00,14. 24.00,,,,,,,,2006,speed,MEN
55,53,Zhong,QiXin,CHN,24.00,,14. 24.00,,,,,,,2006,speed,MEN
56,57,Osipov,Maksym,UKR,22.00,,,,,,,,15. 22.00,2006,speed,MEN
57,57,Svub,Matej,SVK,22.00,,,,,,15. 22.00,,,2006,speed,MEN
58,57,Yusof,Mohd Hamizan,MAS,22.00,,,15. 22.00,,,,,,2006,speed,MEN
59,60,Khopko,Alexander,RUS,20.00,16. 20.00,,,,,,,,2006,speed,MEN
60,60,Pouvreau,Gérome,FRA,20.00,,,,,,16. 20.00,,,2006,speed,MEN
61,60,Tyapkin,Igor,UKR,20.00,,,,,,,,16. 20.00,2006,speed,MEN
62,63,Irit,Susanto,INA,18.00,,,,17. 18.00,,,,,2006,speed,MEN
63,63,Preti,Lucas,ITA,18.00,,,,,,17. 18.00,,,2006,speed,MEN
64,63,Shmatko,Stanislav,RUS,18.00,17. 18.00,,,,,,,,2006,speed,MEN
65,63,Zarchev,Metodi,BUL,18.00,,,,,,,,17. 18.00,2006,speed,MEN
66,67,Adnan,Mohd Fiaz,MAS,16.00,,,18. 16.00,,,,,,2006,speed,MEN
67,68,Ariff Fazilan,Zul Hilmi,MAS,14.00,,,19. 14.00,,,,,,2006,speed,MEN
68,68,Gelmanov,Rustam,RUS,14.00,,,,,,,,19. 14.00,2006,speed,MEN
69,68,Muhamad,Uzair,SGP,14.00,,,,19. 14.00,,,,,2006,speed,MEN
70,71,Chernikov,Mikhail,RUS,12.00,20. 12.00,,,,,,,,2006,speed,MEN
71,71,Hakim,Wan Lukman,MAS,12.00,,,20. 12.00,,,,,,2006,speed,MEN
72,71,Ron,Ho,SGP,12.00,,,,20. 12.00,,,,,2006,speed,MEN
73,74,Stepanov,Alexander,RUS,10.00,21. 10.00,,,,,,,,2006,speed,MEN
74,75,Poplavskiy,Stanislav,RUS,9.00,22. 9.00,,,,,,,,2006,speed,MEN
75,76,Zemski,Alexei,RUS,8.00,23. 8.00,,,,,,,,2006,speed,MEN
76,77,Portsev,Dmitriy,RUS,7.00,24. 7.00,,,,,,,,2006,speed,MEN
77,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,7 (=8-1) best competition results are counting for UIAA Climbing Worldcup 2006. Not counting points are in brackets.,2006,speed,MEN
