,Rank,Name,Name.1,Nation,Points,Huzou 24.09.2004,Bardonecchia 19.08.2004,L'Argentière 29.07.2004,Fiera di Primiero 18.06.2004,Erlangen 16.04.2004,Birmingham 02.04.2004,2004,event,gender
27,28,Mills,Katherine,GBR,37.00,,,,24. 7.00,21. 10.00,16. 20.00,2004,boulder,WOMEN
28,29,Hughes,Lucinda,GBR,36.00,,21. 10.00,,,,13. 26.00,2004,boulder,WOMEN
29,30,Sedlmayer,Katrin,GER,34.00,,,,,,10. 34.00,2004,boulder,WOMEN
30,31,Ritsch,Isabella,AUT,31.00,,,,22. 9.00,15. 22.00,,2004,boulder,WOMEN
31,32,Hawke,Emma,NZL,29.00,25. 6.00,,,,22. 9.00,19. 14.00,2004,boulder,WOMEN
32,33,Eyer,Alexandra,SUI,28.00,,12. 28.00,,,,,2004,boulder,WOMEN
33,33,Huang,Li-Ping,CHN,28.00,12. 28.00,,,,,,2004,boulder,WOMEN
34,35,Anthoni,Kim,BEL,25.00,,,25. 6.00,24. 7.00,20. 12.00,,2004,boulder,WOMEN
35,36,Togawa,Yukiko,JPN,24.00,14. 24.00,,,,,,2004,boulder,WOMEN
36,37,Liu,Gui-Ying,CHN,22.00,15. 22.00,,,,,,2004,boulder,WOMEN
37,38,He,Cuifang,CHN,20.00,16. 20.00,,,,,,2004,boulder,WOMEN
38,39,Gordon,Jo,GBR,18.00,,,,,,17. 18.00,2004,boulder,WOMEN
39,39,Wong,Ming-o,HKG,18.00,17. 18.00,,,,,,2004,boulder,WOMEN
40,41,Atkinson,Lucy,GBR,16.00,,27. 4.00,,29. 2.00,,21. 10.00,2004,boulder,WOMEN
41,41,Bauer,Tanja,GER,16.00,,,,,18. 16.00,,2004,boulder,WOMEN
42,41,Hodann,Anja,SWE,16.00,,23. 8.00,23. 8.00,,,,2004,boulder,WOMEN
43,41,Lind,Angelica,SWE,16.00,,,18. 16.00,,,,2004,boulder,WOMEN
44,41,Oakley,Sian,GBR,16.00,,,,,,18. 16.00,2004,boulder,WOMEN
45,41,Tan,"Li Ying, Suzanna",SGP,16.00,18. 16.00,,,,,,2004,boulder,WOMEN
46,47,Stöhr,Ursula,AUT,15.00,,,27. 4.00,27. 4.00,24. 7.00,,2004,boulder,WOMEN
47,48,Ociepka,Kinga,POL,14.00,,,,19. 14.00,,,2004,boulder,WOMEN
48,48,Sandoz,Mélanie,FRA,14.00,,,,,19. 14.00,,2004,boulder,WOMEN
49,48,Tai,Chika,JPN,14.00,19. 14.00,,,,,,2004,boulder,WOMEN
50,51,Kugler,Eliza,POL,13.00,,,26. 5.00,23. 8.00,,,2004,boulder,WOMEN
51,52,Li,Chunhua,CHN,12.00,20. 12.00,,,,,,2004,boulder,WOMEN
52,52,Martindale,Alison,GBR,12.00,,,,,,20. 12.00,2004,boulder,WOMEN
53,52,Pieper,Irene,NED,12.00,,26. 5.00,24. 7.00,,,,2004,boulder,WOMEN
54,52,Pozzoli,Giovanna,ITA,12.00,,22. 9.00,28. 3.00,,,,2004,boulder,WOMEN
55,56,Cufar,Martina,SLO,10.00,,,21. 10.00,,,,2004,boulder,WOMEN
56,56,Lopez,Gizelle Katrina,PHI,10.00,21. 10.00,,,,,,2004,boulder,WOMEN
57,58,Liu,Hiu Ying,HKG,9.00,22. 9.00,,,,,,2004,boulder,WOMEN
58,59,Huang,Bai-Le,TPE,8.00,23. 8.00,,,,,,2004,boulder,WOMEN
59,59,Swart,Nienke,NED,8.00,,,,,23. 8.00,,2004,boulder,WOMEN
60,61,Jarek,Anna,POL,7.00,,24. 7.00,,,,,2004,boulder,WOMEN
61,61,LI,Suet-Man,HKG,7.00,24. 7.00,,,,,,2004,boulder,WOMEN
62,63,Souche,Marine,FRA,6.00,,25. 6.00,,,,,2004,boulder,WOMEN
63,64,Cheng,Lai-Sho,HKG,5.00,26. 5.00,,,,,,2004,boulder,WOMEN
64,64,Powell,Jemma,GBR,5.00,,,,26. 5.00,,,2004,boulder,WOMEN
65,66,Huang,Qingzhu,CHN,4.00,27. 4.00,,,,,,2004,boulder,WOMEN
66,67,Longo,Roberta,ITA,3.00,,,,28. 3.00,,,2004,boulder,WOMEN
67,67,Rosete,Sarah Jane,PHI,3.00,28. 3.00,,,,,,2004,boulder,WOMEN
68,69,Asher,Alexis,USA,2.00,,,29. 2.00,,,,2004,boulder,WOMEN
69,69,Chang,Chiu-Mei,TPE,2.00,29. 2.00,,,,,,2004,boulder,WOMEN
70,71,Houng,Yi-Fang,TPE,1.00,30. 1.00,,,,,,2004,boulder,WOMEN
71,71,Stämberg,Malin,SWE,1.00,,,30. 1.00,,,,2004,boulder,WOMEN
72,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,5 best competition results are counting for UIAA Climbing-Worldcup 2004. Not counting points are in brackets.,2004,boulder,WOMEN
