,Rank,Name,Name.1,Nation,Points,10,8,11,13,1999,event,gender,athlete_id
16,17,Inozemtseva,Yulia,RUS,59.00,,,15. 22.00,9. 37.00,1999,lead,WOMEN,1175
17,17,Piszczek,Renata,POL,59.00,17. 18.00,15. 22.00,18. 16.00,28. 3.00,1999,lead,WOMEN,1329
18,19,Sedlmayer,Katrin,GER,46.00,,18. 16.00,17. 18.00,20. 12.00,1999,lead,WOMEN,1195
19,20,Tusar,Eva,SLO,44.00,13. 26.00,,,17. 18.00,1999,lead,WOMEN,1109
20,21,Kryvonis,Olena,UKR,43.00,,10. 34.00,22. 9.00,,1999,lead,WOMEN,1393
21,22,Kotasova-Kostruhova,Vera,CZE,41.00,18. 16.00,,16. 20.00,26. 5.00,1999,lead,WOMEN,1389
22,22,Raffetseder,Gerda,AUT,41.00,26. 5.00,,19. 14.00,15. 22.00,1999,lead,WOMEN,1135
23,24,Hilly,Margaux,FRA,34.00,,,,10. 34.00,1999,lead,WOMEN,1232
24,24,Levet,Sandrine,FRA,34.00,10. 34.00,,,,1999,lead,WOMEN,1350
25,26,Stremfelj,Katarina,SLO,30.00,23. 8.00,,23. 8.00,19. 14.00,1999,lead,WOMEN,1196
26,27,Aguirre,Leire,ESP,26.00,,,25. 6.00,16. 20.00,1999,lead,WOMEN,1202
27,27,Perlova,Nataliya,UKR,26.00,,13. 26.00,,,1999,lead,WOMEN,1299
28,29,Kuhngaberova,Jitka,CZE,23.00,21. 10.00,28. 3.00,,21. 10.00,1999,lead,WOMEN,1177
29,29,Novikova,Natalia,RUS,23.00,,15. 22.00,30. 1.00,,1999,lead,WOMEN,2848
30,31,Marchisio,Stella,ITA,22.00,,15. 22.00,,,1999,lead,WOMEN,1353
31,32,Guzzi,Nastja,SLO,21.00,22. 9.00,20. 12.00,,,1999,lead,WOMEN,2707
32,33,Hartmann,Iva,SUI,19.00,,25. 6.00,24. 7.00,25. 6.00,1999,lead,WOMEN,1158
33,34,Eyer,Alexandra,SUI,18.00,18. 16.00,29. 2.00,,,1999,lead,WOMEN,991
34,34,Knorr,Damaris,GER,18.00,29. 2.00,20. 12.00,27. 4.00,,1999,lead,WOMEN,1084
35,36,Anthoni,Kim,BEL,16.00,,18. 16.00,,,1999,lead,WOMEN,1182
36,37,Ostapenko,Olena,UKR,12.00,,,20. 12.00,,1999,lead,WOMEN,1015
37,37,Truden,Sasa,SLO,12.00,,23. 8.00,27. 4.00,,1999,lead,WOMEN,1369
38,37,schöpf,Bettina,AUT,12.00,20. 12.00,,,,1999,lead,WOMEN,1042
39,40,Ulmonova,Simona,CZE,10.00,,24. 7.00,,28. 3.00,1999,lead,WOMEN,1370
40,41,Artioli,Martina,ITA,9.00,,22. 9.00,,,1999,lead,WOMEN,1229
41,41,Nilsson,Ingela,SWE,9.00,29. 2.00,25. 6.00,30. 1.00,,1999,lead,WOMEN,1162
42,43,Haager,Nicola,GER,8.00,,,,23. 8.00,1999,lead,WOMEN,1293
43,43,Nieselt,Eva,GER,8.00,,,,23. 8.00,1999,lead,WOMEN,1100
44,45,Wrobel,Urszula,POL,7.00,24. 7.00,,,,1999,lead,WOMEN,1385
45,46,Nagakai,Hoshiko,JPN,6.00,25. 6.00,,,,1999,lead,WOMEN,3362
46,47,Benetti,Lisa,ITA,5.00,27. 4.00,30. 1.00,,,1999,lead,WOMEN,1203
47,47,Podgorbounskikh,Zosia,RUS,5.00,,,26. 5.00,,1999,lead,WOMEN,1404
48,49,Kim,Hyun-Jung,KOR,4.00,,27. 4.00,,,1999,lead,WOMEN,1143
49,49,Trnkova,Lenka,CZE,4.00,,,,27. 4.00,1999,lead,WOMEN,1216
50,51,Bacher,Barbara,AUT,3.00,,,,28. 3.00,1999,lead,WOMEN,1030
51,51,Petrignet,Carole,FRA,3.00,28. 3.00,,,,1999,lead,WOMEN,1066
52,53,Cintalova,Zuzana,SVK,2.00,29. 2.00,,,,1999,lead,WOMEN,2770
53,53,Stranska,Barbara,CZE,2.00,,,29. 2.00,,1999,lead,WOMEN,1039
