,Rank,Name,Name.1,Nation,Points,Wujiang 19.10.2013,Haiyang 15.10.2013,Mokpo 11.10.2013,Perm 27.09.2013,Arco 07.09.2013,Baku 22.06.2013,Chongqing 22.03.2013,2013,event,gender
17,18,LE COUSTER,Yoann,FRA,78.00,,,,21. 10.00,12. 28.00,8. 40.00,,2013,speed,MEN
18,19,Choo,"Weng Khit, Adriel",SGP,66.00,14. 24.00,17. 18.00,14. 24.00,,,,,2013,speed,MEN
19,20,Jaelolo,Aspar,INA,60.00,16. 20.00,8. 40.00,,,,,,2013,speed,MEN
20,21,Suyushkin,Nikita,RUS,55.00,,,,4. 55.00,,,,2013,speed,MEN
21,21,Vedenchuk,Viacheslav,RUS,55.00,23. 8.00,23. 8.00,18. 16.00,22. 9.00,,19. 14.00,,2013,speed,MEN
22,23,Zhang,Yuhang,CHN,52.00,22. 9.00,22. 9.00,,,,,10. 34.00,2013,speed,MEN
23,24,Poliakov,Anton,RUS,50.00,18. 16.00,19. 14.00,,25. 6.00,19. 14.00,,,2013,speed,MEN
24,25,Atlarov,Ivan,RUS,40.00,,,,8. 40.00,,,,2013,speed,MEN
25,26,Faizullin,Ruslan,RUS,34.00,,,,10. 34.00,,,,2013,speed,MEN
26,27,Astashkin,Evgeny,RUS,33.00,,,,26. 5.00,,12. 28.00,,2013,speed,MEN
27,28,Moro,Guillaume,FRA,32.00,,,,,20. 12.00,16. 20.00,,2013,speed,MEN
28,29,Luzhetskii,Sergei,RUS,31.00,,,,11. 31.00,,,,2013,speed,MEN
29,29,Sabitov,Eduard,RUS,31.00,,,,,,11. 31.00,,2013,speed,MEN
30,31,Bokanov,Sayat,KAZ,28.00,,,,,,,12. 28.00,2013,speed,MEN
31,32,McColl,Sean,CAN,27.00,24. 7.00,24. 7.00,21. 10.00,,28. 3.00,,,2013,speed,MEN
32,33,Nazarov,Alexey,KAZ,26.00,,,,,,,13. 26.00,2013,speed,MEN
33,33,Santoni,Alessandro,ITA,26.00,,,,,13. 26.00,,,2013,speed,MEN
34,33,Savelyev,Artem,RUS,26.00,,,13. 26.00,,,,,2013,speed,MEN
35,36,Mawem,Bassa,FRA,24.00,,,,,,14. 24.00,,2013,speed,MEN
36,37,Fajri,Ashari,INA,22.00,20. 12.00,21. 10.00,,,,,,2013,speed,MEN
37,37,Li,Guangdong,CHN,22.00,,,,,,,15. 22.00,2013,speed,MEN
38,39,Li,Guangfeng,CHN,20.00,,,,,,,16. 20.00,2013,speed,MEN
39,39,Payl,Konstantin,RUS,20.00,,,,16. 20.00,,,,2013,speed,MEN
40,41,Podchesov,Kostiantyn,UKR,18.00,,,,,17. 18.00,,,2013,speed,MEN
41,42,Diachkov,Maksim,RUS,16.00,,,,18. 16.00,,,,2013,speed,MEN
42,42,Molchanov,Alexey,KAZ,16.00,,,,,,18. 16.00,,2013,speed,MEN
43,42,Nambot,Quentin,FRA,16.00,,,,,18. 16.00,,,2013,speed,MEN
44,45,Chae,Sungjoon,KOR,14.00,,,19. 14.00,,,,,2013,speed,MEN
45,45,Jankhoteli,Giga,GEO,14.00,,,,,29. 2.00,20. 12.00,,2013,speed,MEN
46,47,Deulin,Vladislav,RUS,13.00,,,,19. 13.00,,,,2013,speed,MEN
47,47,Sirekanyan,Vaginak,RUS,13.00,,,,19. 13.00,,,,2013,speed,MEN
48,49,Ozawa,Shinta,JPN,12.00,25. 6.00,25. 6.00,,,,,,2013,speed,MEN
49,50,Chelombytko,Yevgeniy,UKR,10.00,,,,,21. 10.00,,,2013,speed,MEN
50,50,Tagizade,Cingiz,AZE,10.00,,,,,,21. 10.00,,2013,speed,MEN
51,52,Her,Youngwook,KOR,9.00,,,22. 9.00,,,,,2013,speed,MEN
52,52,Kvitsiani,Almatsgir,GEO,9.00,,,,,,22. 9.00,,2013,speed,MEN
53,52,Zama,Stanislao,ITA,9.00,,,,,22. 9.00,,,2013,speed,MEN
54,55,Hwang,Pyeongju,KOR,8.00,,,23. 8.00,,,,,2013,speed,MEN
55,55,Kriz,Jan,CZE,8.00,,,,,23. 8.00,,,2013,speed,MEN
56,55,Rahimkhanov,Rinat,AZE,8.00,,,,,,23. 8.00,,2013,speed,MEN
57,55,Ter-Minasyan,Arman,RUS,8.00,,,,23. 8.00,,,,2013,speed,MEN
58,59,Artamonov,Georgy,RUS,7.00,,,,24. 7.00,,,,2013,speed,MEN
59,59,Gomiashvili,Giorgi,GEO,7.00,,,,,,24. 7.00,,2013,speed,MEN
60,59,Schubert,Jakob,AUT,7.00,,,24. 7.00,,,,,2013,speed,MEN
61,59,Sirotti,Gianluca,ITA,7.00,,,,,24. 7.00,,,2013,speed,MEN
62,63,Boulos,Alessandro,ITA,6.00,,,,,25. 6.00,,,2013,speed,MEN
63,63,Khutsishvili,Mamuka,GEO,6.00,,,,,,25. 6.00,,2013,speed,MEN
64,65,Camalzade,Seymur,AZE,5.00,,,,,,26. 5.00,,2013,speed,MEN
65,65,Fossali,Ludovico,ITA,5.00,,,,,26. 5.00,,,2013,speed,MEN
66,67,Buoso,Davide,ITA,4.00,,,,,27. 4.00,,,2013,speed,MEN
67,67,Shikhrahimov,Galib,AZE,4.00,,,,,,27. 4.00,,2013,speed,MEN
68,69,Ibadov,Babek,AZE,3.00,,,,,,28. 3.00,,2013,speed,MEN
69,70,Ali,Yasin,PAK,2.00,,,,,,29. 2.00,,2013,speed,MEN
70,71,Maksutov,Teymur,AZE,1.00,,,,,,30. 1.00,,2013,speed,MEN
71,71,Yurko,Oleksiy,UKR,1.00,,,,,30. 1.00,,,2013,speed,MEN
72,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,6 (=7-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,2013,speed,MEN
